"DST_RSK_DSTRCT_MNG_NO","DST_RSK_DSTRCT_NM","DST_RSK_DSTRCT_GRD_CD","DST_RSK_DSTRCT_TYPE_CD","DST_RSK_DSTRCT_DTL_TYPE_CD","DST_RSK_DSTRCT_RGN_CD","DST_RSK_DSTRCT_HONU","MAO_CD","MAOF_NM","FCLT_NM","FCLTY_GRD_CD","FCLTY_GRD_NM","DST_WASY_CD","WASY_NM","DSGN_YMD","DSGN_RSN","RMV_YMD","RMV_RSN","DAM_INTV","DAM_YMD_RNFL","DAM_HR_RNFL","PRPL_MTTR_CD","WRTR_OGDP_JBGD_CN","IDFR_OGDP_JBGD_CN","FCLT_MNG_INST_NM","MNG_RBPRSN_OGDP_JBGD_CN","MNG_CTZN_JBGD_NM","LAST_MDFCN_DT","APLY_YN","DSGN_AREA","APLY_YR","APLY_YMD","HAB_NOHO","HAB_NOPE","BSC_PLAN_NM","FNDG_YMD","ACT_LMT_MUOR_SPTR","ENCT_YMD","DCSD_CNT","INJPSN_CNT","DAM_HSTRY_IDX","CST_BNTS_VL","PLCY_VL","CNTNC_VL","PREP_VL","BSC_PLAN_YN","MTN_ADDR_YN","MNLNO","SUBLOTNO","DADDR","ROAD_NM_ADDR_CD","RONA_DADDR","STDG_CD","USE_YN","TMPR_STDG_CD"
"재해위험지구관리번호","재해위험지구명","재해위험지구등급코드","재해위험지구유형코드","재해위험지구상세유형코드","재해위험지구지역코드","재해위험지구번지","부처코드","부처명","시설명","시설물등급코드","시설물등급명","재해수계코드","수계명","지정일자","지정사유","해제일자","해제사유","피해주기","피해일자강우량","피해시간강우량","추진사항코드","작성자소속직급내용","확인자소속직급내용","시설관리기관명","관리책임자소속직급내용","관리주민직급명","최종수정일시","신청여부","지정면적","신청연도","신청일자","거주세대수","거주인원수","기본계획명","수립일자","행위제한조례구분자","제정일자","사망자수","부상자수","피해이력지수","비용편익값","정책값","지속값","준비값","기본계획여부","산주소여부","주지번","부지번","상세주소","도로명주소코드","도로명상세주소","법정동코드","사용여부","임시법정동코드"
"317102006001","구영","1","005","유실위험지구","3171025900","","005","국토교통부","구 점촌교","010","지방관리","11","태화강","20060316","하천 범람으로 유실 위험지구","20110421","정비사업완료(교량 재가설)","1","0","81","4","도로교통과 시설6급","건설방재과 시설6급","울주군청","도로교통과 시설6급","범서읍 주민","2016/07/21 13:41:19.000000000","0","","","","","","","","","","","","","","","","","","0","1041","19","","","","3171025927","Y","3171025927"
"317102008004","작동","3","005","유실위험지구","3171040000","","005","국토교통부","작동교","004","군도","19","기타","20080724","하천 범람에 의한 교량 유실위험","20110421","정비사업완료(교량 재가설)","1","","46","4","건설방재과 시설7급","건설방재과 시설6급","울주군청","도로교통과 시설8급","작동마을 이장","2016/07/21 13:42:04.000000000","0","","","","","","","","","","","","","","","","","","0","924","","",""," [지점번호:마마52362596]","3171040024","Y","3171040024"
"317102011005","은현","2","001","","3171034000","","001","행정안전부","곡천천, 덕산천, 싸리골천","013","지방2급하천","11","태화강","20100520","내수배제 불량 농경지, 주택 침수위험","20141023","","2","200","75","4","안전건설과","안전건설과","울주군청","안전건설과","덕현이장","2016/07/21 13:42:11.000000000","0","","","","","","","","","","","","","","","","","","0","315","3","","","울산광역시 울주군 웅촌면 덕산길  3-21   ","3171034025","Y","3171034025"
"317102013006","삼정","1","002","","3171000000","쌍용하나빌리지 공동주택 사면","","","절토사면","050","기타","-1","","20120112","사면 붕괴위험(인명 및 재산피해 우려)","","","0","0","0","3","안전총괄과 시설7급","안전총괄과 시설6급","울주군청","안전총괄과 시설7급","관리사무소장","2026/04/03 17:56:34.000000000","0","36583","2012","20120112","1800","5400","","","02","","0","0","0","0","","","","N","0","755","0","","3171033027107550000017199","","3171026227","Y","3171033027"
"317102013007","화창","2","001","저지대 침수","3171000000","","","","자연재해위험개선지구(화창)","050","기타","-1","","20131107","저지대 침수위험","20200206","청량 화창 재해위험개선지구 공사완료","0","0","30","4","안전건설과 시설7급","안전총괄과 시설6급","안전총괄과","안전총괄과 시설7급","화창마을이장","2023/10/10 13:36:08.000000000","0","57836","2015","20150720","40","130","","","02","","0","0","0","0","","","","N","0","360","2","","","","3171026223","Y","3171033023"
"411952007001","원마구 심곡복개천 지구","3","001","","4119510200","","001","행정안전부","심곡복개천","003","시도","","","20050301","5년간 침수현황 참고","20081229","","0","0","0","4","재난안전관리과 토목9급","재난안전관리과장","","","","2013/05/31 13:31:15.000000000","","","","","","","","","","","","","","","","","","","0","132",""," ",""," ","4119510200","Y","4119510200"
"411972007001","소사구 우수조정지","3","001","","4119710100","","001","행정안전부","우수조정지","012","지방1급하천","","","20050301","5년간 침수현황 참고","20120330","","0","0","0","4","재난안전관리과 시설","재난안전관리과장","소사구 건설과","소사구건설과 시설7","","2013/05/31 13:31:37.000000000","","","","","","","","","","","","","","","","","","","0","150",""," ","","경기도 부천시 소사구  은성로19번길  50   (소사본동)","4119710100","Y","4119710100"
"411132013003","평동지구","2","001","침수위험지구","4111355000","경기도 수원시 권선구 평동 35번지 일원","001","행정안전부","평동 자연재해위험지구(침수위험)","010","지방관리","6","안성천","20130719","13","20160801","공사완료로 인한 재해위험 해소에 따른 지정 해제","3","324","57","4","재난관리과 담당자","재난관리과장","평동주민센터","평동장","개발위원장","2016/10/13 15:07:58.000000000","0","137961","2013","20130719","0","0","","","01","","0","0","0","0","","","","N","0","35","","경기도 수원시 권선구 평동 35번지 일원","","","4111312700","Y","4111312700"
"471302011011","태암지구","3","001","","4713000000","래태리~무과리(소현천합류점)","","","태암천","013","지방2급하천","10","형산강","20110412","하폭이 협소하고 노후된 교량이 유수흐름 저해하여 홍수시 외수침수","20251020","자연재해위험개선지구 정비사업 완료에 따른 위험요인 해소","3","200","50","4","안전정책과 주무관","안전정책과 자연재난팀장","경주시청","현곡면장","무과리 이장","2025/10/28 14:02:45.000000000","0","64118","2011","20110412","0","0","자연재해저감종합계획","20020425","02","20180731","0","0","0","0","","","","Y","0","1120","","래태리~무과리(소현천합류점)",""," [지점번호:마마49596994]","4713036028","Y","4713036028"
"471302014020","대곡금척지구","2","001","","4713000000","","","","대천","013","지방2급하천","10","형산강","20140124","지방하천 대천 양안 저지대에 위치하여 하천이 범람하여 주거지, 농경지 상습 침수","","","0","0","0","4","안전정책과 주무관","안전정책과 자연재난팀장","경주시청","건천읍장","금척리 이장","2026/04/09 17:21:18.000000000","0","823000","2015","20151105","0","0","대천 하천기본계획","19910131","02","20180731","0","0","0","0","","","","N","0","72","2","","","경상북도 경주시 건천읍 내서로  1341-44   ","4713025630","Y","4713025630"
"471302011012","왕신지구","3","001","","4713037000","강동면 왕신리, 오금리","005","국토교통부","왕신천","013","지방2급하천","10","형산강","20110412","제방고부족으로 홍수시 외수침수","20151120","정비사업 완료에 따른 재해위험 해소","3","200","50","4","안전정책과 방재팀장","안전정책과장","경주시청","강동면장","왕신2리 이장","2021/06/03 15:06:05.000000000","0","296813","","","","","","","","","","","","","","","","","1","220","2","강동면 왕신리, 오금리",""," [지점번호:마마61517380]","4713037028","Y","4713037028"
"471302011013","동천지구","3","001","","4713000000","괘릉리,활성리,죽동리,연안리,입실리","","","동천","013","지방2급하천","10","형산강","20110412","제방고부족으로 홍수시 외수침수","","","3","200","50","4","안전정책과 방재팀장","안전정책과장","경주시청","외동읍장","입실3리 이장","2025/04/07 17:58:34.000000000","0","312519","2015","20151104","312","632","하천기본계획","20040823","00","","0","0","0","0","","","","Y","0","1318","","괘릉리,활성리,죽동리,연안리,입실리","","","4713025933","Y","4713025933"
"471302011014","이조지구","2","005","","4713033000","이조교","001","행정안전부","이조교","003","시도","10","형산강","20110412","노후교량 경간장 및 여유고부족","20151120","","0","0","0","4","안전정책과 방재팀장","안전정책과장","경주시청","내남면장","이조3리 이장","2018/02/19 14:04:38.000000000","0","1600","","","","","","","","","","","","","","","","","0","604","3","이조교","","경상북도 경주시 내남면 포석로  123    ","4713033024","Y","4713033024"
"471302014016","충효지구","2","001","","4713000000","삼정그린뷰경주본가아파트 충효동44-3","","","충효천(지방하천)","010","지방관리","10","형산강","20140124","충효천 내수불량","","","0","0","0","1","안전정책과 방재팀장","안전정책과장","경주시청","선도동장","","2025/09/01 11:22:05.000000000","0","35600","","20151105","0","0","","","00","","0","0","0","0","","","","N","0","44","3","삼정그린뷰경주본가아파트 충효동44-3","","경상북도 경주시  충효1길  22-5, 충효동44-3 (충효동, 삼정그린뷰경주본가아파트)","4713011400","Y","4713011400"
"471302014018","안강지구","2","001","","4713000000","","","","칠평천","013","지방2급하천","10","형산강","20140124","저지대내수불량","","","0","0","0","3","안전정책과 주무관","안전정책과 자연재난팀장","경주시청","안강읍장","안강5리 이장","2026/04/09 17:22:34.000000000","0","44800","2015","20151105","0","0","칠평천 하천기본계획","20041125","00","","0","0","0","0","","","","N","0","819","1","",""," [지점번호:마마55927793]","4713025333","Y","4713025333"
"468902004001","학림지구","2","002","낙석위험","1285025000","","","","공유림","050","기타","19","기타","20030823","균열이 진행으로 붕괴위험","20141216","사업완료에 따른 위험요소 해소","1","200","50","4","안전건설과 시설8급","안전건설과 시설6급","완도읍사무소","완도읍사무소 시설9급","","2022/02/07 21:16:21.000000000","0","10000","2003","20030823","0","0","","","02","20110310","0","0","0","0","","","","N","0","3","27","","","","4689025022","Y","4689025022"
"461702013006","삼도","1","001","","1217000000","","","","영산강","011","국가하천","4","영산강","20100601","상습침수","","","2","150","30","4","지방공업9급","지방시설5급","나주시청","지방시설7급","","2025/04/11 17:41:23.000000000","0","680000","2015","20100601","0","0","","20100601","02","20100601","0","0","0","0","","","","N","0","671","22","","4617010200110710000014040","","4617010100","Y","4617012200"
"461702000003","덕례","2","001","내수","1217000000","","","","지석천","011","국가하천","-1","","20000101","하상고(EL10m)와 제내지측 지반고(EL 12m)의 경사차가","20100513","정비완료","2","100","50","4","지방시설7급","지방시설5급","나주시장","지방시설7급","","2023/09/21 14:27:30.000000000","0","1250000","","20000101","0","0","","20000101","02","20000101","0","0","0","0","","","","N","0","873","12","",""," [지점번호:다라35227314]","4617040029","Y","4617040029"
"461702004001","안창","1","001","국가하천","1217000000","","","","영산강","011","국가하천","4","영산강","20031105","상습침수","","","2","100","50","4","지방시설7급","지방시설5급","나주시장","지방시설7급","","2023/09/21 14:27:40.000000000","0","200000","2003","20031105","67","170","","20031105","02","20031105","0","0","0","0","","","","Y","0","521","","",""," [지점번호:다라26176777]","4617010300","Y","4617010300"
"264402009009","대저1지구","1","001","","2644051000","신덕마을, 대저2동 등구마을","001","행정안전부","대저1동 신덕마을, 대저2동 등구마을","050","기타","2","낙동강","19960715","상습침수","20060324","정비사업완료","","","","4","도시관리과","도시관리과","강서구청 도시관리과","도시관리과","","2011/09/21 11:01:24.000000000","","","","","","","","","","","","","","","","","","","0","13","","신덕마을, 대저2동 등구마을",""," ","2644010100","Y","2644010100"
"272901998001","성서지구","1","001","","2729060100","","005","국토교통부","월성배수펌프장증설","011","국가하천","","","20011029","배수처리능력 한계로 증설요구(내수원인), 배수펌프장 증설 완료(2005.12)","20101221","재해위험지구 정비사업 완료(배수펌프장 증설, 하천제방 보강)","0","210","40","4","지방토목주사","재난안전관리과장","시설안전관리사업소","재난안전관리과","","2011/07/20 12:07:40.000000000","","","","","","","","","","","","","","","","","","","0","590","3"," ",""," ","2729012000","Y","2729012000"
"272602004001","팔현마을","3","001","","2726068000","고모동","005","국토교통부","팔현배수펌프장","011","","19","기타","19960704","제방 미축조로 인한 일일강우량 150mm이상시 금호강 수위상승으로 상습침수","20051227","펌프장공사 완료에 따른 침수해소","0","0","0","4","수성구청 재난안전관리과","수성구청 재난안전관리과","수성구청 건설과","수성구청 고산2동","수성구 고산2동 주민","2026/03/13 19:50:02.000000000","","","","","","","","","","","","","","","","","","","","",""," ",""," ","","N",""
"271402005001","봉무지구","1","001","내수","2714062000","","001","행정안전부","봉무빗물펌프장","011","국가하천","2","낙동강","20050711","집중호우 시 침수우려","20090220","빗물펌프장 설치 1500m/m 7대, 침수위험요인 해소","2","0","0","4","안전총괄과 통신8급","안전총괄과 행정5급","동구청 안전총괄과","안전총괄과 시설7급","위남수문관리자","2015/10/30 11:02:55.000000000","","0","","20151029","0","0"," ","","00","","0","0","0","0","","","","N","0","1",""," ","","대구광역시 동구  팔공로23길  105   (불로동)","2714010500","Y","2714010500"
"271402006001","신암지구","1","001","내수","2714051000","","001","행정안전부","신암배수펌프장","010","지방관리","2","낙동강","20060310","금호강 홍수위보다 낮아 수위상승시 내수배제 불가로 침수우려","20110520","배수펌프장 설치 1800m/m 5대, 유수지 10,300m3","4","0","0","4","안전총괄과 통신8급","안전총괄과 행정5급","동구청 안전총괄과","안전총괄과 시설7급","신암5동","2015/10/29 13:23:37.000000000","","0","","20151029","0","0"," ","","00","","0","0","0","0","","","","N","0","1",""," ",""," ","2714010100","Y","2714010100"
"277101996002","구지징리지구","3","001","침수","2771038000","","005","국토교통부","낙동강제방축조(이주보상)","011","국가하천","2","낙동강","19960709","상습침수지구","20091231","재해위험지구 정비사업 완료로 위험요소 해소","0","0","0","4","달성군 복구지원담당","달성군 치수방재과장","부산지방국토관리청","달성군 구지면장","","2015/11/03 08:54:17.000000000","","278443","2006","20060227","8","15"," ","","00","","0","0","0","0","","","","N","0","515","1"," ",""," ","2771038034","Y","2771038034"
"277101998002","하빈봉촌지구","3","001","","2771033000","","005","국토교통부","낙동강하빈제제외지(이주보상)","011","국가하천","","","19960709","낙동강 수위상승으로 침수","20090610","상습 침수피해지역의 주택 이주, 철거완료로 재해위험 해소","10","210","0","4","달성군 재난방재과","달성군 재난방재과장","부산지방국토관리청","달성군 하빈면장","","2015/11/03 09:49:05.000000000","","906345","2006","20060227","18","62"," ","","00","","0","0","0","0","","","","N","0","100","10"," ",""," ","2771033029","Y","2771033029"
"468002006002","삼산지구","3","001","유실위험","1277000000","","","","삼산천","010","지방관리","-1","","20060224","호우시 하천이 범람하여 피해발생","20100517","사업시행 완료","0","0","0","4","재난안전과 시설8급","재난안전과 시설6급","재난안전과","재난안전과 시설8급","삼산1마을 이장","2026/07/23 09:50:47.000000000","0","0","","20151104","0","0","","","00","","0","0","0","0","","","","N","1","5","3","",""," [지점번호:다라49561454]","4680025332","Y","4680025332"
