"DONG_CD","STATS_VL","DTA_UNIT_NM","ORGNL_PATH_CN","REG_DT","MDFCN_DT","YR"
"행정동코드","통계값","데이터단위명","원본경로내용","등록일시","수정일시","연도"
"2671000000","18422","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:21","2023/01/02 23:04:02","2014"
"2700000000","303537","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:22","2023/01/02 23:04:02","2014"
"2711000000","14745","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:23","2023/01/02 23:04:02","2014"
"2714000000","51318","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:23","2023/01/02 23:04:02","2014"
"2717000000","30708","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:24","2023/01/02 23:04:02","2014"
"2720000000","28433","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:25","2023/01/02 23:04:02","2014"
"2723000000","47172","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:25","2023/01/02 23:04:02","2014"
"2726000000","52823","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:26","2023/01/02 23:04:02","2014"
"2729000000","57576","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:27","2023/01/02 23:04:02","2014"
"2771000000","20762","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:27","2023/01/02 23:04:02","2014"
"2800000000","297951","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:28","2023/01/02 23:04:02","2014"
"2811000000","14878","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:29","2023/01/02 23:04:02","2014"
"2814000000","12108","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:29","2023/01/02 23:04:02","2014"
"2817000000","53231","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:30","2023/01/02 23:04:02","2014"
